ID,text,labels,am
3240,"Honey Badger don't know the 4th Amendment, ""After Mathieu, 20, gave the police his consent to search the apartment...""",negative,"የ 4 ኛው ማሻሻያ ከ 20 ዓመቱ ማቲው ከ 20 በኋላ ለፖሊስ አፓርታማውን ለመፈለግ ወንጀል ከሰጠው ... """
3241,Like Larry Bird in the Ole' 3PT Contest... Tonight at the Alfred E. Smith dinner #Romney went 1st and absolutely crushed it. #ObamaFailed,positive,እንደ ላሪ ወፍ በ 3 ኛው ውድድድ ውስጥ ... ዛሬ ማታ አልፍሬድ ኢ. ስሚዝ እራት # ሰሜኒ 1 ኛ ሄድኩ እና ሙሉ በሙሉ ተጨናንቆ ነበር.#OBAMAMAFACED
3242,#TeamFollowBack BEIRUT (Reuters) - The International Committee of the Red Cross said on Thursday it... http://t.co/X8wBuCxE #FF @Kaijzer,neutral,#TAMAMFALBBATUBUTUTUTUTUTUT (Routers) - የቀይ መስቀል ኮሚቴ ሐሙስ (ሐሙስ) ሐሙስ ምርመራ ...
3243,@HotspurRelated im just a 19 year old still on loan for the 3rd time at coventry 79 overall hopefully when i return bale will still be ther,neutral,@Thotscuratobree እኔ በ 3 ኛው ጊዜ እራት በ 79 እሾህ ላይ አሁንም በተስፋው ውስጥ ለ 3 ኛ ጊዜ ብድር ላይ ነኝ
3244,@cf125 @followimran Four Lions is on Sunday night @ 9pm on @C4Insider Make sure you watch it boys. (Eid Mubarck Imran) #veryfunnyfilm,positive,@ CF125 @foreman አራት አንበሶች እሁድ ምሽት @ 9PM @ 9pm @ C4PINSICEESTOSESTHOOSETHOOSETHESTORE መሆኑን ያረጋግጡ.(ኢድ Mubarak ኢራን) #vyfunnyfilm
3245,"At noon today, you'll know why #YouCount tune in to ABS-CBN to see the 1st #TVC of the Biggest &amp; d' Brightest #BPO Employer in PH #CONVERGYS",positive,ከዛሬ እኩለ ቀን ላይ የ 1 ኛ እና አህያ 1 ኛ # ሴፕትን ለማየት ወደ AIST-CBN ለምን #yyountockingsockout's ለምን #yyountockingsockout's 'D 'ብሩህ #BPO አሠሪ ውስጥ በ PH #Converges ውስጥ
3246,If you're with MetroPCS then this is probably the best phone you can buy http://t.co/Jyeeqo9y,positive,ከሜትሮፕስ ጋር ከሆንክ ይህ ምናልባት በጣም ጥሩው ስልክ ነው http://t.co/jjyee9Y ን መግዛት የሚችሉት ምርጥ ስልክ ነው
3247,@AdeleCFC still be in bolton i think :) you free sunday then? X,neutral,"@Adelecfc አሁንም እኔ እንደማስበው, እሑድ እሁድ ቀን ነፃ ነው?X"
3248,"Joseph Prince - None Of Us, All Of Christ! - 14 Oct 2012: http://t.co/07adOghe via @youtube How much of God's GRACe do you need?",neutral,"ጆሴፍ ልዑል, እኛ ክርስቶስ ሁላችንም ክርስቶስ!- 14 ኦክቶበር 2012: - @youtube በ @youtube በኩል እንዴት ብዙ የእግዚአብሔር ጸጋ ይፈልጋሉ?"
3249,"saw ""Rise of the Planet of the Apes"" with the gf last night...it was a pretty damn good movie...y'all should go check it out",positive,"ትናንት ማታ ከ GF ጋር ""የዜናዎች ፕላኔት መነሳት ... ይህ በጣም ጥሩ መጥፎ ፊልም ነበር ..."
3250,November 16 Breaking Dawn part 2 is coming out who gonna watch it with me ?,neutral,እ.ኤ.አ. ኖ November ምበር 16 የንጋት ክፍል 2 ከእኔ ጋር የሚመለከተኝ እየወጣ ነው?
3251,RT @BmoreGoodFellaz #jeopardy Where everyone will be watching the Ravens vs Eagles game THIS Thursday... What is @PlaybookMD ?  #goodAnswer,positive,Ror @Boomododolodelly #jeioparye ዎ @ posse ጨዋታ በዚህ ሐሙስ ... @PAYEREBERMDD ምንድን ነው?#ጥሩ መልስ
3252,"Zulu is the 26th largest mother tongue of Christians (10.4 million), representing 0.5% of all Christians.",neutral,ዙሉ ከሁሉም ክርስቲያኖች 0.5% የሚወክለው የ 26 ኛው ትልቁ የእናት ቋንቋ ቋንቋ (10.4 ሚሊዮን) ነው.
3253,LSU Coach Les Miles said BCS title game has no bearing on Saturday's matchup with Alabama http://t.co/YNoxqmN5,neutral,LSU አሰልጣኝ Les ማይሎች ቢ.ሲ.ኤስ. የማዕረግ ጨዋታ ከ extbafa hypt hymp.co/yno/ynoxnoxns5 ጋር ምንም ተጽዕኖ የለውም ብለዋል
3254,I've been on TV a few times now. Still waiting for the call from ITV about Dancing On Ice though. Starting to think I may be TOO famous.,negative,አሁን በሳምንት ጥቂት ጊዜያት እኔ ነኝ.አሁንም በበረዶ ላይ ስለ መደነስ አሁንም ጥሪውን ከ ITV ጋር በመጠበቅ ላይ.በጣም ታዋቂ ሊሆን እንደሚችል ማሰብ ጀመረ.
3255,"she call me baby, I call her bae, sorry 4 the wait, Carter IV on the way! august 29th. hellllll yeahhh! (;",positive,"ሕፃን ትጠራኛለች, ቤሆዋ እጠራ ነበር, ይቅርታ, ይቅርታ, ፓተርተር አራተኛ በመንገድ ላይ!ነሐሴ 29 ቀን.ሲኦል አዎ!(;"
3256,Looking forward to a fun weekend in the mountains and enjoying the snow in California.  Have a great Friday. http://t.co/Itxs0ik1,positive,በተራሮች ውስጥ አስደሳች ቅዳሜና እሁድን በጉጉት እጠብቃለሁ እና በካሊፎርኒያ ውስጥ በበረዶው መደሰት.ታላቅ አርብ ይኑርዎት.http://t.co/itxs0iki1
3257,"@DudWithNoZah Akin and Murdoch are scum, but rape jokes aren't much better brah.  They may just be just a (cont) http://t.co/pH72WrlV",negative,"@Duduwithozhozna እና Murdoch Scumin እና ጭፈራዎች ናቸው, ግን የአድራሻ ቀልድ የተሻሉ አይደሉም.እነሱ ምናልባት (ኮንትራት) ብቻ ሊሆኑ ይችላሉ http://t.co/phillvv"
3258,Pretty Little Liars was the shit ! I can't wait til tomorrow ! I wanna see who all innocent &amp; who got something to do with Allison dying !,positive,ቆንጆ ትናንሽ ውሸቶች ሹካው ነበር!ነገ እስክሪን መጠበቅ አልችልም!ሁሉም ንፁህ እና አሞር ማን ማን እንደሆነ ማየት እፈልጋለሁ.አሊሰን ከሞተ ጋር አንድ ነገር ያገኘው ማን ነው!
3259,@tressayeomans yes...okay I'm going to sleep night Tressa talk to you tomorrow hun!  xx,neutral,@Tressaysome አዎ ... ደህና እተኛለሁ ትሬስ ትኔን ትነጋግራቸዋለሁ ነገ ተነስቼ ነበር!xx
3260,Member Monday for Prelim v Crows from 9am-9pm today through Ticketek. 4 tickets per barcode with max of 8 in a transaction. #ALWAYS,neutral,ከዛሬ 9 am-9PM ዛሬ በቲክኪኪበግብይት ውስጥ ከ 8 ቱ ውስጥ ከ 8 ቱ ኮኮድ ጋር በአንድ አሞሌዎች ውስጥ 4 ቲኬቶች.#Always
3261,"@mcr_ellamae hahahhahaha lol,its probably cuz im sat here in a green day hoodie.....xx :)",positive,"@mcr_ellaeaeae hahahahahahahaha, ምናልባት Cuz በአረንጓዴ ቀን ኮፍያ ውስጥ ተቀመጠች ..... xx :)"
3262,"@diamond_truths Ring arrived today, it is fabulous. Thank you so much for your help. We are absolutely delighted.",positive,"@Diamod_truts ቀለበት ዛሬ ደርሷል, ይህ አስደናቂ ነው.ለእርዳታዎ በጣም እናመሰግናለን.እኛ ሙሉ በሙሉ ደስተኞች ነን."
3263,"Look for Monday's edition of The Record for full package of stories, photos and more about Friday's plane crash",neutral,"ለተመረጡ ታሪኮች, ለድራሴ እና የበለጠ ስለ አርብ አውሮፕላን ብልሽቶች የተገኙ የሰኞን የቀደመውን እትም ይፈልጉ"
3264,"Later start this morning - off to get the stitch removed from my arm, then up into Cumbria we go and Scotland tomorrow! #lejog go go go!",positive,"በኋላ ጠዋት ጠዋት ላይ ተጣብቆ ለመወጣት ከእንጨት የተወገደ, ከዚያ ወደ ካምኮም እና ስኮትላንድ ውስጥ ወደ ካምራም ይሂዱ.#LOJOG ሂድ ሂድ!"
3265,@MartinaMcGowan good morning to you Martina!! I hope your day is great too!! :) is it hot where you are? It's steaming here in Bama!,positive,@MartinamCowan ጥሩ ጠዋት ጠዋት ማርቲና !!ቀንዎ በጣም ጥሩ እንደሆነ ተስፋ አደርጋለሁ !!:) እርስዎ ባለዎት ትኩስ ነው?እዚህ በ BAMA ውስጥ የእንፋሎት ነው!
3266,My sister and I are going to SM this Saturday afternoon to watch Lorax. I am so asking my dad for popcorn money. :)),positive,እኔና እህቴ ሎራክስን ለማየት እሁድ እሁድ እሄዳለሁ.እኔ አባቴን ለ PoPCorn ገንዘብ እጠይቃለሁ.:))
3267,@tamartorello Oh my gosh that's hilarious - love it! Did you read the one on Steve Jobs? http://onforb.es/nibJjg Love the Tuesday reading :),positive,@Tamhartoreloho ho hoh hashy ያ ነው - ውደደው!በስቲቭ ስራዎች ላይ ያለውን አንብበውታል?http://noforf.es.es/nibjg table ንባብዎን ይወዳል :)
3268,Winter Storm Watch for portions of the WDBJ7 viewing area  until 8:00am Wednesday. http://t.co/GbHXY57g,neutral,ክረምት አውሎ ነፋስ የ WDBJ7 ን የ WDBJ7 እረፍት እስከ 8 ሰዓት ድረስ የእረፍት ጊዜን ይመልከቱ.http://t.co/gbhxy57G
3269,A little bit of Toolroom TV to get you in the mood for Sat Night....  FILTHY RICH IN THE HOUSE @markstorey  http://t.co/aYU6ANrJ,neutral,ለ SAT ምሽት ስሜት ውስጥ እርስዎን ለማግኘት ትንሽ የመሳሪያ ክፍል ቴሌቪዥን .... ቆሻሻ ሀብታም በቤቱ @m.cockoryyly http://t.co/ayu6nugj
3270,@HBBlanks @kaycegilman20 sparks fly by Taylor swift may or may not have been in the background. It was moment I'll never forget lol,positive,@Hbblanks @ Kaycegilman20 ስፕሪኮች በቴይለር ፈጣን ፍጥነት ወይም ከበስተጀርባ አልነበሩም.በጭራሽ አልረሳውም
3271,Morning all! me he despertado he peusto la MTV y estaban hablando de Green Day! que bonito despertar!,positive,ጠዋት ላይ ሁሉም!እነቃለሁ MTV ን አደረግኩ እና ስለ አረንጓዴ ቀን እየተናገሩ ነበር!ምን ያህል ደስ ብሎኛል!
3272,Good morning! Listen at 7:20 to score lunch at Aladdin's Natural Eatery in the Trivia Cafe...and at 8:20 for your tickets to Darien Lake!,neutral,እንደምን አደርክ!በአላዲዲ የተፈጥሮ ምዝግብ ላይ በምሳ ላይ ምሳ ለመምጣቱ በሦስት ቪቪያ ካፌ ... እና 8 20 ቲኬቶችዎ ወደ ዳዮንስ ሐይቅ!
3273,"@oliverporter obviously we're not looking great right now, but the 'Arsenal will finish 5th' prediction is wrong every year!",negative,"@oloverport በግልጽ በግልጽ እኛ አሁን ጥሩ እንዳልሆንን ግልጽ አይደለም, ነገር ግን <ሰርስስ 5 ኛ> ትንበያ ነው."
3274,Who all fuckin with twilight tonight ??,negative,ዛሬ ማታ ማታ ማታ በጣም fuckin ማን ነው ??
3275,Mark Martin: Hello you! Good weekend so far?   'The Hot 20' is on but can One Direction hold onto 'Saturday... http://t.co/ojPEjVOm,positive,"ማርክ ማርቲን: ሰላም!እስካሁን ድረስ መልካም ቅዳሜና እሁድ?'ሞቃታማው 20' ላይ ነው, ግን አንድ አቅጣጫ 'ቅዳሜ ... http://t.co/ojpejofom"
3276,"Hey #GH fans, we all must support @kellymonaco1 in the upcoming season of #DWTS, premiering tomorrow night!! The pride of Port Charles!!",positive,"ሄይ #GH አድናቂዎች, እኛ ሁልጊዜ ማታ ማታ ማታ ማታ በመጪው የ #dwommonaco1 ውስጥ @ kligmonamaco1 መደገፍ አለብን !!የፖርት ቻርለር ኩራት !!"
3277,RT @VomitsHerMinddx: Britney: Lady Gaga's here tonight. Me: WHAT? *Watches Gaga the rest of the night *  Me: Who's concert was that ? I  ...,neutral,RT @vomiteserminddx: ብሪኒ: - እመቤት ጋጋ ዛሬ ማታ.እኔ: - ምን?* ቀሪ ሌሊቱን * ከእኔ ጋር የተዋሃደውን * የእጅ ኮንሰርት ማን ነበር?እኔ ...
3278,IOC mulls Armstrong bronze - SBS: The International Olympic Committee (IOC) on Thursday said it had ... http://t.co/tIKEuaAh #london2012,neutral,AOOC MASTLALS BRATSNAMER - SBS: ዓለም አቀፍ የኦሎምፒክ ኮሚቴ (አይኦ.ሲ.ሲ)
3279,"Madison don't wipe your black lines off !! ""It's like Ash Wednesday, you don't wipe that shit off.""",negative,"ማዲሰን ጥቁር መስመሮችንዎን አያጠፋም !!""እንደ አመድ ረቡዕ ነው, ያንን ያጥፉ."""
3280,"Can't wait for tomorrow night's Welcome to the Underworld party - I love Halloween!  The question is, what... http://t.co/9R5rxD5L",positive,"ለተቆጣጣሪው ፓርቲ ወደ ትውልት ሌሊት እንኳን በደህና መጠበቅ አልተቻለም - ሃሎዊንን እወዳለሁ!ጥያቄው, ምን ... http://t.co/9R5RXD5L"
3281,Kanye &amp; Kim as batman and catwoman may be the hottest thing ive ever seen #jeal #bestcelebcouple,positive,"ካኒ እና አዶ,ኪም እንደ Batman እና CATWoman ልክ #EJEL #BESTEECECECOUPLEEKETEEDEETEREETEEDE በጣም የተሞላው ነገር ሊሆን ይችላል"
3282,Girls Gone Wild gon be at my school Thursday shit gon be crazzzzyy make sure I be my ass on campus lol #NPU,positive,ልጃገረዶች በዱር ት / ቤቴ ቀሚስ ሾት ሾት ሾን ሾን ውስጥ ይሁኑ
3283,"No sir, I am not about to get on SPC for hiring Young Eli to go out there and entertain them white folks on a Monday night",negative,"ምንም ጌታ የለም, ወጣቱ ኢሊን ወደዚያ እንዲወጣ እና ሰኞ ማታ ነጭዎችን ለማዝናናት እኔ SPC ላይ መድረስ የለብኝም"
3284,Jupiter's almost perfectly in line with the moon. Rather beautiful. May try looking at it tomorrow night via the old telescope.,positive,ጁፒተር ከጨረቃ ጋር ፍጹም በሆነ መንገድ ነው.ይልቁንም ቆንጆ.በቀድሞው ቴሌስኮፕ በኩል ነገ ማታ ማታ ማየት ሊሞክር ይችላል.
3285,http://t.co/oTLL3Log  Any Joey fans that want a cover for all NNS wins may take this.,positive,ለጠቅላላው የናስ አሸናፊዎች ሽፋን የሚሹት ማንኛውም የጆሪ አድናቂዎች ይህንን ሊወስዱት ይችላሉ.
3286,So if the Premiership is called off on Saturday who is for Inbetweeners?,neutral,ስለዚህ ቅድመ-ትግሬው የሚባለው በአበባባቸው ውስጥ ማን ነው?
3287,"Without Carl Nicks, Bucs to shuffle O-line: Some major news out of the Tampa Bay Buccaneers on Tuesday afternoon... http://t.co/jAXDgq0P",negative,"ሳይር ኖክ ሳያስሸፍኑ, ኡ-መስመር"
3288,Charlie Sheen seems pretty confident/badass for his upcoming roast. He actually seems like he has it together. I may watch.,positive,ቻርሊ shen መጪው መጪው ደረጃው በጣም በራስ መተማመን / አጥፊ ይመስላል.እሱ በእውነቱ አንድ ላይ እንዳለው ይመስላል.ልመለከትህ እችላለሁ.
3289,@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys,neutral,"@ Adyoup007 @} @} @} @ Addible2hammmmmer ህዳር እውነተኛ ህዳር ነው እውነት ከሆነ ግን የበለጠ ቢከሰት, ምናልባት በ Gamemes ውስጥ መዘመር ትችላለች"
3290,"@princess_saraw it build immune syst up - hot water &amp; lemon 1st thing, 3 green teas a day..it'll sort you out xx",neutral,"@Prinscess_saraw የበሽታ መከላከያ ስርዓትን ይገነባል - ሙቅ ውሃ እና;ሎሚ 1 ኛ ነገር, 3 አረንጓዴ ቴክኖስ በቀን ውስጥ .."
3291,Live at the Roxy on the 11th of November!!! get your tickets now! http://t.co/iXElrfWD,neutral,በኖ November ምበር 11 ቀን በሮክ ውስጥ ይኖሩ !!!ቲኬቶችዎን አሁን ያግኙ!http://t.co/ixelrfwd
3292,RT @__BigAssCHOPPA: One thing i learned from living in detroit was when a nigga pull out a gun you get the fuck on. Crazy ass night already!,negative,RT @@biigassoPPA: በዲትሮይት መኖሬ የተማርኩት አንድ ነገር ጩኸት ጩኸት የሚያገኙበት አንድ ጠመንጃ ሲወጣ ነበር.እብድ አህያ ቀድሞ!
3293,Damn. If I was able to go today I could have watched the advanced screening of Terra Nova :(,negative,ግድም.ዛሬ መሄድ ከቻልኩ እኔ የላቂውን የቴራ ኖቫን የላቁ ማቃለያዎችን ማየት እችል ነበር.
3294,What if Cena wins the Undisputed WWE Championship match at Summerslam this Sun? A riot is very likely to take place!!,negative,በዚህ ፀሀይ በፕራምላ ውስጥ ካኖ የተስተካከለ የ WWE ሻምፒዮና ውድድር ቢያሸንፍስ?ሁከት ሊከሰት ይችላል !!
3295,"@Wzzz Going to Elon University. It's a private ubi at a damn ulu place. No worries, i'm going off on 22nd august. Haha.",neutral,"@Wzzz ወደ ኤሎን ዩኒቨርሲቲ ሄደ.እሱ በተበላሸ ኡሱ ቦታ ውስጥ የግል UBI ነው.ምንም ጭንቀት የለም, በነሐሴ 22 ነሐሴ ወር እሄዳለሁ.ሃሃ"
3296,Might have to make that Final Destination 5 move on friday...,neutral,ያንን የመጨረሻ መድረሻ 5 ዓርብ ላይ ማንቀሳቀስ ሊኖርበት ይችላል ...
3297,Apparently some dude called Shepard Fairey has a show on 2night? Drop by Blackall studio 1st if you missed the #imaginaryfriends show launch,neutral,በግልጽ እንደሚታየው spardard Fighty ተብሎ የሚጠራው የ 2 ሌሊት ትርኢት አለው?#Imagialives exts ማስጀመር ካመለጠዎት በ Bloball Supio 1 ኛ ይርቁ
3298,Terrible tragedy today in Russia with the loss of a great KHL team and an NHL great in Pavol Demitra,negative,በዛሬው ጊዜ የሩሲያ አሳዛኝ አሳዛኝ ነገር በታላቅ የኪስ ቡድን ውስጥ እና ኤን ኤንኤል በፓቫል ደሜራ
3299,@Roanmair You beat them 5-1 in the San Siro but Terry Henrys 3rd goal is world class. #NeverMindPires!,positive,"@Roanmair በሳን S ሳን sho ውስጥ መምታት ይችላሉ, ነገር ግን ቴንሪ ሄንሪ 3 ኛ ግብ 3 ኛ ግብ የዓለም ክፍል ነው.# ቶችዎ"
3300,"See you on March 24th. From Argentina to Miami, no limits for #ASOT and @arminvanbuuren",neutral,"ማርች 24 ላይ እንገናኝ.ከአርጀንቲና እስከ ሚሚና, ለ #AST እና @arminvanubeuns ገደቦች የሉም"
3301,"OMG Saturday at 8, p.s. I love you premieres on abc family.",positive,"Omg ቅዳሜ 8, P.s.በአቢሲ ቤተሰብ ውስጥ ያለኝን ርዕሰ ጉዳይ እወድሻለሁ."
3302,"#Trending: Tim Tebow is now dating cave woman from 10,000 BC. 1st date question: ""What was it like in a time before Jesus?""  #Tebowmania",neutral,"# መያዝ: - ቲም ጀልባ አሁን ከ 10,000 ቢ.ቢ. ሴት ዋሻ ሴት ይጀምራል.1 ኛ ቀን ጥያቄ- ""ከኢየሱስ በፊት በአንድ ጊዜ ምን ነበር?""#Tobowania"
3303,@TwittaBeast @immaculate_nat at da end of da night no girl that roll with me is on da MTA! They are above that as long as I can afford that!,positive,@Twittabereaster @immaract_nat በ DADE DEADE DEDE DINE MELE ከእኔ ጋር የሚሽከረከረው ሴት ልጅ ነው!እኔ እስከቻልኩ ድረስ ከዛ በላይ ናቸው!
3304,"When my professor passes out candy and says ""a very small amount of that may be from Valentines day, just so you know""",neutral,"ፕሮፌሰር ከረሜላ ሲል ሲል እና ""ከቫለንታይን ቀን በጣም አነስተኛ መጠን ያለው መጠን,"" ከሚያውቁት በጣም ትንሽ መጠን """
3305,I'll be playing #MITD tonight around 8:30pm EST. Open Lobby will most likely be TOMORROW EVENING. Keep an eye on YouTube/Twitter.,positive,ከ 8:30 pm ets ጋር ዛሬ ማታ ማታ #medd እጫወታለሁ.የተከፈተ ሎቢ በጣም ብዙ ነገ ምሽት ሊሆን ይችላል.በ YouTube / Twitter ላይ አይን ያድርጉ.
3306,"Kevin Bacon, Paul Rudd and 8 Other Stars to Appear in Friday the 13th or Halloween Movies http://t.co/I5dEWZcy via @AMC_TV",neutral,"ኬቨን ባዮኮኮ, ጳውሎስ ሩድድ እና ሌሎች ከዋክብት በአርቲቭ @AMC_TVIALET በኩል http://t.co/i5dabyzy"
3307,if jenelle comes to the game tomorrow... I'll die #missherlots #itsbeentolong #mybaby,negative,ጄኔል ነገ ወደ ጨዋታው ብትመጣ ... እሞታለሁ # እኔ #ements #sbeenogong #mybaby
3308,Espanyol face a tricky trip to Real Betis on Saturday evening as they go in search of their 1st win of the new campaign http://t.co/FHVhKD7H,neutral,Espanyol: - ቅዳሜ ምሽት 1 ኛ አሸናፊ ጩኸታቸውን ለመፈለግ ሲጀምሩ espanyo ዎሪኪንግ ጉዞን ያጋጥማቸዋል.
3309,"Pacino is going to play Joe Paterno.  This is the 2nd time he has starred in a film, that has the line 'say hello to my little friend- SNL",neutral,"ፓኪኖ የጆሮ ፓተርኖን ይጫወታል.ይህ በ 2 ኛ ጊዜ ውስጥ ኮከብ የተደረገበት 2 ኛ ጊዜ ነው, ይህም መስመር ለትንሹ ጓደኛዬ (SNELE- SWL)"
3310,#OilersMobile: July 20: Sam Gagner | http://t.co/MisqEmgQ   @gagns89 nice to have you there for at least another year!,positive,#IRERERSOMOBIEE: ሐምሌ 20: ሳም ጋግነር |http://t.co/Misemegq @ Gagns89 እርስዎ ቢያንስ ለሌላ አመት እዚያ እንዲኖሩዎት ጥሩ ነው!
3311,@Lydia_Style @candyjacobs ahhh girls if I was not going to Dubai on Wed I would take u ladies !! Hope u can come visit me in land of sand x,neutral,@Lydia_stley @candyjacjocobs ahhah ልጃገረዶች አህያ ሴት ልጆች እወስዳለሁ.ተስፋህ በአሸዋ ኤክስ ውስጥ ሊጎበኙኝ ይችላሉ
3312,In 27 hours i know if im gonna see the boys live on May 1st!! Omgg im sooo scared for tomorrow!,negative,በ 27 ሰዓታት ውስጥ ወንዶች ልጆቹ ግንቦት 1 ቀን በሕይወት እንደሚኖሩ አውቃለሁ !!Omgg IM SOOO ለነገ ፈርቷል!
3313,Weak D and a penalty set up a short TD run for Eastern.  'Cats 17-14 with 2:08 left in 1st half.,negative,ደካማ ዲ እና አንድ ቅጣት ለአጭር የቲ.ዲ.ኦ.ኦ.ኦ.ኦ.ኦ.ኦ.ኦ.ኦ.ኦ.ኦ.ኦ.ዲ.ድመቶች 17-14 ከ 2:08 ከ 2:08 በ 1 ኛ ግማሹ.
3314,"@KolaptimusPrime He bet me 5 bucks the Lions would make the Superbowl, and he also thinks the Superbowl is on Monday",neutral,"@Koellimsimsprym ያወጣኛል 5 አንበሶቹን እጅግ በጣም አንበሳ ሾው ይይዛል, እናም እሱ ደግሞ እጅግ በጣም ያስባል"
3315,"CHICAGOANS: Happy Casimir Pulaski Day!!!!! Wherever you are, find yourself a pierogi and celebrate!!! #Pulaskiday",positive,ቺካራናውያን: - ደስተኛ ካሚሚር ፓላሺ ቀን !!!!!የትም ብትሆኑ ፒካሮጂን ይፈልጉ እና ያከብሩ !!!#Pululaskiday
3316,Game Day.. Arsenal Ladies vs Turbine Potsdam.. Champions League Last 16 1st Leg.. Get down and support the Gooners..!! #UWCL #ALFC,neutral,የጨዋታ ቀን .. የ Assenal Lodies Vs tunbine Posdam Possdame .. ሻምፒዮና የመጨረሻ 16 1 ኛ እግር#Uwcl #alffc
3317,Today has been INSANE(ly good). So excited for my colleagues who have done so much great work deserving of natl recognition. #NPLAN #PHLP,positive,ዛሬ እብድ ነው (ጥሩ ጥሩ).በጣም ብዙ ታላቅ ሥራ ላደረጉባቸው ባልደረቦቼ በጣም ያስደስተዋል.#NPlan #pplp
3318,"Daily Digit: Exchanges lost $1 mln a day: Oct 31 - NYSE, Nasdaq, and the CBOE each lost about $1 million in trad... http://t.co/T2ltnGrS",negative,በየቀኑ አሃዝ በቀን $ 1 ሚሊየን የጠፋ: - ኦክቶ 31
3319,I need a shower and to start getting ready but I'm just sat in bed blogging and watching Celebrity Juice,neutral,ገላ መታጠብ እና መዘጋጀት እንድጀምር እፈልጋለሁ ግን እኔ በአልጋ ውስጥ እቆማለሁ እና የታየን ጭማቂዎች
3320,RT @howardeskin: Steve Williams just threw Tiger Woods under the bus after win w Adam Scott today. After 33 yrs and 145 wins this is the ...,neutral,RT @haterSkin: ስቲቭ ዊሊያምስ ዛሬ አደምሚ ስኮት ካሸነፈ በኋላ የ Tiger Wooks ከ Winder በታች ጣውላዎች ውስጥ ጣሉ.ከ 33 ዩኤስኤስ እና 145 ድሎች በኋላ ይህ ነው ...
3321,It's Friday Love Question time - I'm answering as many Love Questions as possible with cards and astrology - now! http://t.co/WhUFEsGD,positive,እሱ አርብ የፍቅር ጥያቄ ሰዓት - አሁን በሚቻሉ ካርዶች እና ኮከብ ቆጠራ በተቻለ መጠን ብዙ የፍቅር ጥያቄዎች መልስ እየሰጠሁ ነው - አሁን!http://t.co/ eswofsgd
3322,So after David Ruffin sat in the trap and smoked crack all day Friday all day Saturday and Sunday I gotta salute his will to keep going!,positive,ስለዚህ ዳዊት ሩቅ ከርፋኖስ በኋላ ወጥመድ ውስጥ ከተቀመጠ በኋላ ቀኑን ሙሉ ቀን ዓርብ ቅዳሜና እሁድ ቀን እሁድ ቀን እጀምራለሁ ሰላምም ሆነኝ!
3323,@verumserum Vandals in Oakland same as the night before in SF with Afghans grown in. http://t.co/hTOswj4n,negative,@voumunerum valsys በኦክላንድ ከሚበቅለው ከኤፍጋኖች ጋር ከ SFGHANS ጋር እንደ ሌሊት ጋር ተመሳሳይ ነው. http://t.co/hto/htosswj4n
3324,"Alex, the female sideline commentator for Sunday night football...sounds like Kermit the Frog. How did they let you on the air?",neutral,"አሌክስ, እሁድ ምሽት የእግር ኳስ ኳስ እሑድ እሁድ ኳስ ... እሁድ እሁድ እለት ተባባሪ ሴሚንግ እንደ ኪራይ ይመስላል.በአየር ላይ እንዴት ፈቀደህ?"
3325,I'm going to the ravens game in philly this thursday #getnthefucoutofhere,neutral,እኔ ወደ ራቨንስ ጨዋታ እሄዳለሁ እዚህ ሐሙስ # retetnefuftofheathele
3326,Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng,positive,ትልቅ ግጥሚያ ለማሸነፍ ለሩሲያ ጊዜ ትላለች: ሩሲያ ሥራ አስኪያጅ ሐሙስ ሐሙስ ተሰብስቧል ... http://t.co/refc5cff
3327,"I wish Ron Jaworski was still in the Monday Night Football booth. I enjoy Tirico and Gruden, I just think that Jaws offered a lot too.",neutral,"ሮን ጃዋርኪ ብዙውን ጊዜ ሰኞ ማታ የእግር ኳስ ዳስ ውስጥ ነበር.ትሮኮርኮ እና ግትርነት ደስ ብሎኛል, ያጌጡ መንጋጋዎችም ብዙ ይሰጣሉ ብዬ አስባለሁ."
3328,"Crimes against women: Khaps, women panel meeting on Oct 28: It would be for the first time that Haryana khap panchayats and National ...",neutral,"በሴቶች ላይ የሚፈጸሙ ወንጀሎች, የሴቶች ፓርናል በኦክቶበር 28 ላይ ስብሰባ ላይ የሚገኙ ሲሆን ለመጀመሪያ ጊዜ ሀሪና ካንሲኒስ እና ብሄራዊ ለሆነ ለመጀመሪያ ጊዜ ይሆናል."
3329,Going to see @JohnCena and @CMPunk along with all the other @WWE superstars December 3rd in Greensboro NC :),positive,@Johnson እና @cmmpund እና @Chdunkne @wwe shoderstars ታህሳስ 3 ቀን በግሪንቦሮ ኤን.ሲ.ሲ.
3330,"I ain't asking for much, just listen to atleast the 1st 3 songs &amp; give me some feedback&gt;&gt;&gt;DreamTeam (Full Mixtape) http://t.co/OzvJr3jY",positive,"ብዙ ነገር አልጠይቅም, ልክ 1 ኛ 3 ዘፈኖችን እና AMP ን ብቻ አዳምጡ,የተወሰነ ግብረመልስ ስጠኝ & GT; & GT; & GT; & GT; Dembramam (ሙሉ MICATAPE) http://t.co/ozvjrjr3JY"
