text,labels,translated
Chillin in traffic listening to Wiz. Taylor Allderdice is my favorite mix tape of his. Actually it may be in my top 10 period,positive,ክሊኒን በትራፊክ ማዳመጫ ውስጥ ለ Wiz.ቴይለር አልዲድዲስ የእኔ ተወዳጅ ድብልቅ ቴፕ ነው.በእውነቱ ምናልባት በ 10 ጊዜዬ ውስጥ ሊሆን ይችላል
Snowin!! I love it!! And I love my life,positive,በረዶ !!ወድጄዋለሁ!!እና ህይወቴን እወዳለሁ
"@jhonnyC323 Destructo next thurs, free before 10:30, guest list. Let's go. CAUSE I CAN!! (it's 21+)",positive,"@ jhnyc333 ፈርቶ, የሚቀጥለው ሐምዶች, ከ 10 30, ከ 10:30, የእንግዳ ዝርዝር.እንሂድ.ማድረግ እችላለሁ !!(እሱ 21+ ነው)"
Eastbound for the #arsenal game tomorrow,neutral,ነገ ስለ #ARENALE DALESTED
The driver of a motor vehicle that crashed on Petrolia Line in the evening of July 11 remains in serious condition. http://t.co/ciUXdGck,neutral,በሐምሌ 11 ምሽት ላይ በነዳጅ መስመር ላይ የሚፈርስ የሞተር ተሽከርካሪ አሽከርካሪ ከባድ ነው.http://t.co/cuuxddd
"@alfredoflores follow @amandawanxo , on november 26, find her outside the bell center and meet her. please? &lt;31",neutral,"@alfredocollores, እ.ኤ.አ. ኖ November ምበር 26, ከምሽቱ ማእከል ውጭ @amandwanxo ያግኙ እና ከእሷ ጋር ያነጋግሯት.እባክህን?& lt; 31"
Reasons to Celebrate:  Forcing the turnovers: The game Sunday between the New York Giants and ... http://t.co/4zqe5Tn6 #nfl #nyg #giants,positive,ለማክበር ምክንያቶች-ማዞሪያዎችን ለማስገደድ: - በኒው ዮርክ ግዙፍ ሰዎች መካከል ያለው የጨዋታ እሑድ እና ... http://t.co/4zqe5tn6 #nfl #nfig #
"Beyonce needs a new sound. You may call it hating, I'm just being real.",negative,"ቤይስ አዲስ ድምፅ ይፈልጋል.ሊጥሉት ሊደውሉ ይችላሉ, እውን እየሆንኩ ነው."
"@mandy1258  Marky says the rumour is that MeatLoaf is going into CBB in January, hope he's right lol he'll be hilarious xxxx",neutral,@ Mandy1258 ማርክ ቴሮው በጃንዋሪ ውስጥ ወደ ሲቢስ እየሄደ መሆኑን ነው ብለዋል.
"Pakistan clears visa accord, India welcomes it - New Delhi/Islamabad, Nov 1 (IANS) A day after Pakistan's cabinet ap... http://t.co/4Hz42nIw",positive,"ፓኪስታን የፒን ስምምነትን ያጸዳል, ህንድ እንኳን በደህና መጡ - አዲስ ዴልሂ / ኢ.ሜ.ሲ. (አይ.ኤ.ኤ.)"
@davidhepworth Went for tea at Claridges on Tuesday morning with someone who used to go to Elvis' place in Bel Air for jamming sessions.,neutral,@da edhelwitworit @ ማክሰኞ ጠዋት ጠዋት ላይ ወደ ኤልቪአርኤል አየር ቤት ውስጥ ወደ ኤልቪስ ቦታ ለመሄድ ከሚጠቀም ሰው ጋር በ CARSERDERS ላይ ሻይ ሻይ ላይ ወጣ.
"Finally watching last weeks True Blood, ready for the new episode tonight.  How is everyone else this morning?",positive,"በመጨረሻ የመጨረሻ ሳምንቶች እውነተኛ ደም, ዛሬ ማታ ለአዲሱ ክፍል ዝግጁ የሆነ እውነተኛ ደም ይመለከት ነበር.ዛሬ ጠዋት ሁሉም ሰው እንዴት ነው?"
Life just isn't the same when there is no Pretty Little Liars on Tuesday nights.,negative,ማክሰኞ ምሽቶች ምንም ቆንጆ ትናንሽ ውሸቶች ከሌሉ ሕይወት ብቻ አይደለም.
@jessicasteere we're going to ricks cafe on thursday! Or come here anyday!,neutral,@ seestiaceetree ሐሙስ ቀን ወደ ሪካክ ካፌ እንሄዳለን!ወይም ከዚያ በኋላ ወደዚህ ይመጣሉ!
View from the Valley: Seymour schools to open Friday http://t.co/AtEpajzp,neutral,ከሸለቆው እይታ: - አርብ http http://t.co/ationa/tepajajzp
Super excited for homecoming Saturday with Monroe! :D my new nephew is here but I can't see him :(,positive,ከ monroe ቅዳሜ ቅዳሜ ለመልቀቅ በጣም የተደነቀ ነው!: D የእኔ አዲሱ የእህት ልጅ እዚህ ነው ግን አላየሁም: -
News of the day - Oct 17 - Michael Clarke determined to see Australia at...: http://t.co/bzT1oogu via @youtube,neutral,የዕለት ተዕለት ዜና - ኦክቶኤል ክላርክ አውስትራሊያን ለማየት ቁርጥ ውሳኔ አደረገ በ @yountube በኩል @oyounge ፊት
Tough week but tmrw is a fresh start. The only good thing about Monday is you get to start over. Plus @HoustonTexans are on MNF! #Greatness,positive,Trogs ሳምንት ግን ነገ አዲስ ጅምር ነው.ስለ ሰኞ ብቸኛው ጥሩ ነገር መጀመር ነው.ፕላስ @houstexans MNF ላይ ናቸው!# ልቀት
Sonny bill williams named in the first xv to face Tonga on Friday. This man is one to watch my other is Isreal Dagg #rwc2011,positive,ሶኒ በአንደኛው Xv ውስጥ ወደ ፊት ቶን ቶን ውስጥ የሚሉት ቢል ዊሊያምስይህ ሰው ሌላዬን የሚመለከት ነው የምስል Dagg # rwc2011 ነው
made a shitty Family Guy gif last night out of boredom. gonna post it on Tumblr.,negative,ትናንት ማታ ትናንት ማታ ከድካም ውጭ የሆነ ሹራብ ቤተሰብ ጋለድ አደረገ.እህስ በቲምቦር ላይ ይለጥፉ.
Ben Amos doing well @Hull .Another clean sheet. He says he's enjoying the challenge of playing regular 1st team football. #MUFC,positive,ቤን አሞጽ በጥሩ ሁኔታ የሚደረግ @Hull ን.መደበኛ 1 ኛ ቡድን እግር ኳስ መጫወት ፈታኝ እንደሆነ ተናግሯል.#Mfc
Was last night in Tottenham part of Spurs plan to get more money from the mayors office for the new stadium??,neutral,ትናንት ማታ በቶሚሃም ክፍል ውስጥ ለአዲሱ ስታዲየም ከሴቶች ቢሮ የበለጠ ገንዘብ ለማግኘት ዕቅድ ለማውጣት ዕቅድ ውስጥ ነበር ??
DEEJAYING this FRIDAY in THE FIRST CHOP it's CHRIS actual SMITH with a smashing mish mashing of TUNES from Stoke... http://t.co/N3W1Dkrv,positive,በአንደኛው ቾፕት ውስጥ የመጀመሪያ ስሚዝ ክሪስ ትክክለኛ ስሚዝ እስክሪፕት ውስጥ የ <ሜክሲኮ> ንጣፍ በማሸብም ... http://t.co/n3w1drvv ጋር
"- Joseph Prince (FB):When your problems were in your hands, the weight and the burden may have crushe...When you... http://t.co/ZnKsuOPt",neutral,- የዮሴፍ ልዑል (ኤፍ.ዲ. (FB) ችግሮችዎ በእጃችሁ ውስጥ ሲሆኑ ክብደቱ እና ሸክም ክርክሩ ሊኖር ይችላል ... ...
Oh and we are playing @ the United Center at 1pm on December 1st COME SUPPORT US AND BUY A TICKET FROM ME TO WATCH THE BULLS!!!!!!!,positive,ኦህ እና እኛ ከ 1 ፒ.ኤም. (እ.ኤ.አ.) በ 1 ፒ.ኤም.
"Well, our playwright Mel didn't make it to #dawnsearlylight today due to MTA's incompetence. So I guess we gotta eat his birthday treats...",negative,"ደህና, የመጫወቻችን ቀጥ ያለ ሜታ ዛሬ በ MTA ብቃት ያለው ምክንያት ዛሬ ወደ # ሊቀ jurearylyllight በጭራሽ አላደረገውም.ስለዚህ የልደት ቀን ህክምናውን እንበላም እገምታለሁ ..."
NFL Lions News: Lions rookie RB Mikel Leshoure went down with an apparent leg injury during practice this morning... http://fb.me/16LugiFDd,neutral,NFL አንበሶች ዜና: - አንበሶች rookie rb Mikel LEKL LESHORE በዚህ ጠዋት ላይ በተግባር በሚታወቅበት ጊዜ ግልፅ የእግር ህመም ወረደ ... http://fb.me/16lugifd
"@kerrycupcake You off to Cork ? have lots of fun &amp; safe trip, you've done a lot since your 1st meet at Eurosong haha",positive,"@Kkrycuppucko ወደ ኮሽሽ?ብዙ አስደሳች እና amp አላቸው,ደህንነቱ የተጠበቀ ጉዞ, ከ 1 ኛ ዩሮስንግ ሃሃ ውስጥ ከ 1 ኛ ስብሰባዎ ጀምሮ ብዙ አደረጉ"
"People's Choice Awards site is sooooo slow, c'mon I want to vote",negative,"የሰዎች ምርጫ የሽፋኑ ጣቢያዎች የ SOOOOOOLLOOLLOOLLO ነው, Commo ድምጽ መስጠት እፈልጋለሁ"
Why is my mind doing this to me? 1st I think about Max and how he always knows when I'm sad and now I think about what happens when he dies,negative,አዕምሮዬ ለምን ይህን አድርጌኛል?1 እኔ እንደማስበው ስለ ማክስ እና እንዴት እንደሆንኩ እና አሁን እንደሆንኩ ሁል ጊዜ እንዴት እንደሚያውቅ እና አሁን ሲሞት ስለሚሆነው ነገር አስባለሁ
Red Cross: Syria conflict is now a civil war: The International Committee of the Red Cross said on Sunday it now considers the confli...,neutral,የቀይ መስቀል-ሶሪያ ግጭት አሁን የእርስ በእርስ ጦርነት ነው-እሁድ ቀን የአለም አቀፍ የመስቀል ኮሚቴ አሁን እሁድ ቀን አነጋገሪ መሆኑን ገልፀዋል ...
@ishufflezbigg idk about Thalia but I gotta work Saturday :/,neutral,@sisfuffeliggiggiggo Idk ስለ Tholia ግን እኔ እረፍት ሰዓት ነኝ: /
@Gwendolyn__ I better have a seat by you and Katie tomorrow! Can you say #party?,positive,"@Gwenddolynlyn__ እኔ የተሻለ መቀመጫ አለኝ, እና ነገ ነገ# Partyy ማለት ይችላሉ?"
Jungle Island makes good on $2 million payment: Jungle Island made good Wednesday on its promise to the Miami Ci... http://t.co/TTyDjIQb,neutral,"ጫካ ደሴት በ 2 ሚሊዮን ዶላር ክፍያ ጥሩ ያደርገዋል - ጫካ ደሴት ጥሩ ረቡዕ ወደ MIAMI CI, http://t.co/tydjiqb"
"@waymobomber Cool, What you like about Red Hot Shot tonight? I like Dundeel tomorrow for the Derby",positive,"@waymobobber አሪፍ, ዛሬ ማታ ስለ ቀይ ሙቅ ትትሞው ምን ይወዳሉ?ነገ ለዴይቢ ነገ ነገድ እወዳለሁ"
Mohamed Nasheed's Press brief about CONI report - 31 Aug 2012: http://t.co/niN6zHhn via @youtube,neutral,ሞሃይ የተሞሉ ናሽሽስ በፕሬስ ኦቭ ሪ ሪፖርቱ - 31 ኦፌዴቭ 2010 እ.ኤ.አ.
Anybody going to Long Beach Comic Con this Saturday?,neutral,ማንኛውም ሰው ወደ ረዥም የባህር ዳርቻ አስቂኝ ኮምፓስ ይህንን ቅዳሜ የሚሄድ ነው?
Fun date night with my girl. Home early. Ice my aching body. Wish i had Netflix right about now....,positive,ከሴት ልጅ ጋር አስደሳች ቀን ምሽት.ቀደም ብሎ.የታካሚ ሰውነቴአሁን Netfllix መብት ቢኖረኝ እመኛለሁ ....
Can't wait for opening night at Madison Square Garden. Will be there for the Knicks/Heat game on Friday! #fun,positive,በማዲሰን አደባባይ የአትክልት ስፍራ ውስጥ ምሽት ለመክፈት መጠበቅ አልተቻለም.አርብ ላይ ለካኪንግ / የሙቀት ጨዋታዎች ይኖሩ ይሆን!#fun
"Well, a few news: Gonna be at Phil's studio with Nachtgeschrei in january to record my first album with the guys.... http://t.co/S6Ks9O3h",neutral,"ደህና, ጥቂት ዜና: - የመጀመሪያውን አልበቢቴን ለመመዝገብ ከናቺግቼቺሬ ጋር ከናቺግቼቺሬ ጋር በጃንኪንግ ስቱዲዮ ውስጥ ይሁኑ .... http://t.co/s6ks9o3h"
The Devil Inside with @YouuLoveAmber We may die.,negative,ዲያቢሎስ የምንሞትበት በ @youulober ውስጥ.
Okay. My sister is freaking out because Allstar isn't playing at the Wildwood Show tomorrow LMFAOOOO!,positive,እሺ.እህቴ ፊቴስታር ነገ በዱር እንጨት ውስጥ ስለጫወተች lmfaooo ውስጥ ስለማይችል እህቴ ትወጣለች!
"Today In History November 02, 1958 Elvis gave a party at his hotel before going out on maneuvers. He sang and... http://t.co/Za9bLTcE",neutral,"በዛሬው ጊዜ በታሪክ ኅዳር 02, 1958 ኤልቪዎች በማያንቀሳቀሱ ከመነሳቱ በፊት በሆቴሉ ውስጥ ድግስ ሰጠው.ዘፈነ እና ... http://t.coo/zza9blace"
@samvescovi @Darrenvescovi What are two doing for the Steelers game tomorrow?,neutral,@Samescovo @darrencovess ነገ ለመደጎምሮች ጨዋታ ምን እያደረጉ ነው?
@pariskennedy do it! I'm one of those rare natural California bLondes . . . Open after.Nov 15.:) would love some CT anyways . . .,positive,@parsiskedyy ያድርጉት!እኔ ከእነሱ ያልተለመዱ የተፈጥሮ ካሊፎርኒያ ብሉይስ ነኝ...ክፈት ከኋላ በኋላ...
The bulls are back! @haralabob what seed do you think the bulls can finish assuming a 75% rose comes back by March,positive,በሬዎች ተመልሰዋል!@ harrarabobb ምን ዓይነት ዘር ምን ይመስልዎታል?
Soccer Saturday with our son. They're playing the hardest team in the league. Then the All-star game. #proudparents,positive,የእግር ኳስ እህቶጃ ከልጃችን ጋር.እነሱ በሊግ ውስጥ በጣም ከባድ ቡድኑን እየተጫወቱ ነው.ከዚያ የሁሉም ኮከብ ጨዋታ.# ዱባዎች
"@brupe1 Yes, it is. Over the summer, Danny McBride confirmed ""Eastbound &amp; Down"" was renewed for a 4th season. No word on a premiere date yet",neutral,"@ ብሩሬ 1 አዎ, ነው.በበጋ ወቅት, ዳኒ MCRBRADE ""የተረጋገጠ"" ምስራቃድ እና አሚ ወር, ታች ""ለ 4 ኛ ወቅት ታድሷል.በቀድሞ ቀን ቀን ምንም ቃል የለም"
HTC Announces Two New Smartphones - the Radar and the Titan: HTC announced two new Windows 7 smartphones today a... http://t.co/uoobqH6,neutral,HTC ሁለት አዳዲስ ዘመናዊ ስልኮችን ያስታውቃል - Radar እና Titan: HTC ሁለት አዳዲስ ዊንዶውስ 7 ዘመናዊ መስኮቶች 7 ዘመናዊ ስልኮች አወጁ (http://t.co/uuo/uuo/uuo/uuo quobqh6)
#housemusic #fun Jason Vernau Live @ SET Nightclub Miami February 25th 2012:   Jason Vernau is back with some... http://t.co/XObATTgd,neutral,#IShismice #fun jasnou Ereena Live @ ቅ night ም ክለሉ እ.ኤ.አ.
I took my boyfriend Best virginity last night in Club Bodi...it was her 1st time goin 2 the club EVER @smokers_lane HAPPY BDAY CHUM CHUM,positive,ትናንት ወንድ ጓደኛዬን ለክለቤቱ ቦዲ ውስጥ የወሰድኩ ... ይህ የ 1 ኛ ሰዓት ጎማ ነበር 2 ክለቡ 2 ክለብ ሁል ጊዜ @sssomers_LEARDSY BEAD CHED
Even Elvis is going all out for Saturday! Can't wait! #derbyday @Chantellebrown3 @JessWemyss @Angela_Jade @JGod86 http://t.co/T8CNM1Gp,positive,ኤልቪ እንኳ ለ ቅዳሜም ሁሉ እየሄደ ነው!መጠበቅ አልተቻለም!#EDYBEDEDD @ chaterbolords3 @jessweysssssysh_Jongelyly_jje jgod866 http://t.co/tcnm1gnm
no way to underestimate the madness and cynicism and frank and open loathing of country that characterizes today's Republicans,negative,የማመዛዘን እና ፍራቻ እና ፍራንክ እና ፍራንክ እና የዛሬዋን ሪ Republic ብሊክ ተለይቶ የሚታወቅ የአገሪቱን የመቆጣጠር እና የሀገርን መቆጠብ የሚያስችል መንገድ የለም
Just watched the Rhonda Rousey v. Meisha Tate fight for the 1st time and that was one of the nastiest armbars,negative,የ RHANA Rocyy Vs Miesha Tats Miash Tatat ውጊያን ለ 1 ኛ ጊዜ እና ያ በጣም መጥፎ ከሆኑ አርቢዎች ውስጥ አንዱ ነበር
"30 free tickets to watch Saigon Heat vs Singapore Slingers in Singapore,4pm Apr 29 for the first 30 fans email to Community@saigonheat.com",neutral,"30 ነፃ ትኬቶች የሚንሸራተቱ የ Singapore ሙቀትን ለመመልከት የ Singapore Singvers ውስጥ የ Singapore Shangers, 4 ፒኤም ኤፍ.ፒ."
@Nataliealana87 It just started last night. Meryl Streep's daughter is the main character (ie Meredith) 1st episode was quite good.,positive,@ ናታሊካላና87 ትናንት ማታ ብቻ ተጀመረ.Merrel የአለባበስ ሴት ልጅ ዋና ገጸ-ባህሪ (ማለትም ሜዲት) 1 ኛ ክፍል በጣም ጥሩ ነበር.
"2nd day of #VINOOMANKAD U19:(ODI): Haryana, Kerala, Andhra, TN, Mumbai, Baroda, UP won their matches against J&amp;K, KAR, Hyd,Goa, MH,Baroda,UP",neutral,"የ 2 ኛ ቀን #vinomankad U19: - (ኦ.ኦ.ዲ.) ሃሪና, ኬራላ, እና ባሮዳ, ቡሮ, ካራ, ሙላ, ጎአ, MH, GOADA, BARADA"
"Harris English may be playing some incredible golf at the moment, but the AP still labels his photos as ""Zach Johnson.""",positive,"ሃሪስ እንግሊዝኛ በወቅቱ የተወሰነ አስገራሚ ጎልፍ ሊጫወት ይችላል, ግን ኤ.ፒ.ቢ. አሁንም ፎቶግራፎቹን ""ZAC ዮሽሰን"" ብለው ያወጣል."
RT @Johnny_Shah: Comedy Central RT @Lord_Sugar What channel is Arsenal game on tonight,neutral,Ro @johnny_shah: አስቂኝ ማዕከላዊ @olord_sugar ምን ጣቢያው ዛሬ ማታ በርከት ነው?
"Animal Planet star Tia Torres of Pit Bulls &amp; Parolees to attend For the Love of Dogs festival in Smyrna, GA Nov 3rd http://t.co/L0y4nXF4",neutral,የእንስሳት ፕላኔት ኮከብ ቲያ ቶሎች እና አሞር.በ Smyrna ውስጥ የውሽቶች ፌስቲቫል ለመገኘት PA No n ኖ Nov ም 3 ኛ Phlt.co/l0y4nxf4
"@UNHEDMC is hosting Joe Bermudez Friday night in the Wildcat Den! Free for students! Listen to LAUNCHPAD tonight, 8pm. http://t.co/jd1eMlU4",neutral,"@Unededmc በዱርኪክ ጉድጓዱ ውስጥ joe ቤርሚዝብ ዓርብ ያካሂዳል!ለተማሪዎች ነፃ!ዛሬ ማታ ማታ, 8 ፒኤም.http://t.co/jd1E1"
"I hate watching movies like friday after next on VH1 , BET, MTV,&amp; etc. because they take out the bad language -__-. It's no fun !",negative,"ከ VH1, ውርርድ, MTV, እና AMP በኋላ እንደ አርብ ፊልሞችን ማየት እጠላለሁ,ወዘተ ምክንያቱም መጥፎ ቋንቋውን ስለወሰዱ ---.አስደሳች አይደለም!"
"How much does @MittRomney want to win Va? Enough for 2 more rallies here on Monday, last day of campaigning, in Lynchburg &amp; Fairfax.",neutral,"@Mmittromney ምን ያህል ማሸነፍ ይፈልጋሉ?በሊንግበርግ እና አረም ውስጥ, ዘመቻ እና AMP, ወደ ዘመቻው የመጨረሻ ቀን ሰኞ እስከ 2 ተጨማሪ ለሆኑ ራሊያዎች በቂ በቂ,ፌርፋክስ."
@ZachJayL  you won't be getting candy till monday. I am (by my own stupidity) a sick person right meow. .-.,negative,@Zachjayell እስከ ሰኞ ከረሜላ አያገኙም.እኔ (በራሴ ሞኝነት) የታመመ ሰው ነው.-.
Going to the Georgetown game on Friday! #imwearingblue #istillloveeastview,positive,አርብ ላይ ወደ ጆርጅታዌይ ጨዋታ መሄድ!#IMWWALEDEULE #Sislilloloverivieview
@38special_  Good luck agaist Tampa Bay tonight.,positive,@ 38 ልትጾታ_ መልካም ዕድል ዛሬ ማታ.
RT @STEPHstackk: keen for the eagles game today. #goeagles,neutral,RT @Stephrasakk: ዛሬ የኔግስ ጨዋታዎችን ለማግኘት ይፈልጋሉ.# ጎጆዎች
"I just typed in ""the Bazura Project"" into google images and the 7th image is a photo of my dad. Also Glenn with moustache is there. #WHATTHE",neutral,"በቃ ""ባውራ ፕሮጀክት"" ውስጥ ገብቼ ወደ ጉግል ምስሎች እና 7 ኛው ምስል የአባቴ ፎቶ ነው.ጊሊን ከጉልሽ ጋር አለ.# ምንድን ነው"
FM Preview: West Ham United v Sunderland 22 Sep 2012: FootyMad attempt to assist you with their form guide as West... http://t.co/3PrijOGy,neutral,ኤፍኤምኤ ቅድመ ዕይታ: ዌብንደር ሃም ዩናይትድ V Sun Sundandland Vo Sundandland Vo Sundandland Vo Sundine 22: 2012
Rudd rains on Abbott's parade: KEVIN Rudd may be trying to spoil Julia Gillard's party but yesterday he gate-cra... http://t.co/h8wJi814,negative,በ Abbot ሰልፍ ላይ RUDD ዝናብ በቢባ rodd ላይ የጁሊጂጂጂጂጂጂጂን ፓርቲ ለማበዝን እየሞከረ ሊሆን ይችላል ግን ትናንት በርቶ CRAME ... http://t.co/h8w8W814
Buyers of Wal-Born supplements may get refunds from Walgreens: The company touted the supplements' likeness to t... http://t.co/b3ngExov,neutral,"የቪል ተወላጆች ዋስትናዎች ከዎልግሬንስ ተመላሽ ገንዘብ ማግኘት ይችላሉ-ኩባንያው የ ""Scricks"" ኢንተርፕራይዞች አምሳያዎችን ለ t ..."
"October 19, 2012 book news: 20,000 Turn Out for the Southern Festival of Books What do Keith Richards and Margar... http://t.co/v5Coq2Vt",neutral,"ጥቅምት 19 ቀን 2012 ዜና ዜና: 20,000 የሚሆኑት ቂሪ ሪቻርድስ እና ማርጋሪ ምን ያደርጉታል?"
"If @cmpunk holds the WWE Title until the Royal Rumble, he will have held the title for 434 days. Making him the 6th longest reign...",neutral,@Cmmunks የንጉሣዊው ሪል እስኪያቅተው እስከ 434 ቀናት ድረስ ርዕሱን ያካሂዳል.የ 6 ኛ ረጅሙ ግዛቱን ማዘጋጀት ...
#house #music #FB Jason Vernau Live @ SET Nightclub Miami February 25th 2012: Jason Vernau is back with some swe... http://t.co/Q82NnU6E,neutral,#EHEHEE #MUSISIC #FBER GESON LEANOU LED @ የምሽት ክበብ ሚሚ የካቲት 25 ቀን 2012 እ.ኤ.አ.
if you don't know who Kidrauhl is you may as well no speak to me ever again.,negative,"የ Kouralluahll ማን እንደሆን ካላወቁ, በጭራሽ አይነግረኝም."
"Crazy how sports economics have changed. Larry Bird's rookie deal was 5 yrs, $3.25 M total. 6th pick Damian Lillard will make $3 M this YR.",neutral,"የስፖርት ኢኮኖሚክስ እንዴት እንደተለወጡ እብድ.ላሪ ወፍ ወፍ የቤት ውስጥ ስምምነት 5 ዓመት, $ 3.25 ሜትር ነበር.6 ኛ መራጭ ዳሊኒ ሉላርድ $ 3 ሜ ያካሂዳል."
"Jumping off the Brooklyn Bridge with my hang glider on Sunday. Find a bookie, now taking bets on which state I land in",neutral,እሁድ እሁድ ከእንቅስቃሴዬ ጋር ወደ ብሩክሊን ድልድይ ይዝለሉ.አሁን እኔ የምገባበት ቦታ ላይ መቆንጠጫውን ያካሂዱ
The #Bullshifter: Saw my father march with Martin Luther King http://t.co/eg74P92c then: did not see it w/ my own eyes. http://t.co/82uEWO46,neutral,#Bullshififer: አባቴ ማርቲን ሉተር ኪንግ ማርች ማርች ማርች PPtp://t.co/eg74p92c: 000 አላየሁም.http://t.co/82uewo46
"Ooshma Garg started her 2nd successful company, Gobble. Watch how she got to one of her biggest investors--Reid Hoffman http://t.co/VhEHDU3y",positive,"Ooshma gogg የ 2 ኛ ስኬታማ ኩባንያዋን, Goble ን ጀመረች.እሷን ከትልቅ ሀላፊነቷ እንዴት እንደደረሰባት ይመልከቱ - እንደገና Reid hoofman hop/t.co/vhahdd3y"
All the best to those who are taking Physics tomorrow :) &lt;3,positive,ነገን ለሚያንኳኳቸው ሁሉ መልካም ነገር ሁሉ :) & lt; 3
Mourinho happy with cup win: Jose Mourinho was satisfied with Real Madrid's 4-1 first leg win at Alcoyano on Wed... http://t.co/M4RqMD0H,positive,Murinho በድብቅ ደሴት በሴይ ማድሪድ 4-1 በማድሪድድ 4-1 ለመጀመሪያው እግር አሸነፈ ... http.c.co/m4rqred0h
It makes me happy to see that Ron Jaworski isn't on Monday Night Football. Suck it @jawsespn,positive,ሮን ጃዋርኪ ሰኞ ማታ እግር ኳስ ላይ አለመሆኑን ማየት ያስደስተኛል.@Jawspn
"@geoffstults on September 5th, The Finder reaches italian tv (with the worst title translation ever). FINALLY!!! :D #finder #risolutore #sky",positive,"@gefffless መስከረም 5 ቀን, ፈላጊው ወደ ኢንስያን ቴሌቪዥን (ከጠፋው የርዕስ ትርጉም ጋር).በመጨረሻም !!!: D #finder #rrylutore #sky"
@TheBigLead I need to see Jeremy Evans on Roni Turiaf all over the place tomorrow.,neutral,@ TheTbigleads ነገ በቦኒ ቱርጌፍ ላይ የጄረሚ ኢቫንስን ማየት እፈልጋለሁ.
"Dear ESPN - you aren't fooling anyone with your ""Monday Night Football"" graphics... its Thursday. Just make TNF graphics. #Thanks",positive,"ውድ espn - ""ሰኞ ማታ እግር ኳስ"" ግራፊክስዎ ማንኛውንም ሰው የማታለል አይደለም ... ሐሙስ.ልክ የ TNF ግራፊክስን ያድርጉ.#አመሰግናለሁ"
BUSTED @T_M_Birch caught out celebrating the 1st'a cup win with Andy Carroll and Joe Hart #Beer #Jager http://t.co/Ifv3wd9I,neutral,የ 1 ኛ ደረጃን እና ጆን ካሮል ውስጥ የ 1 ኛስቲዛ ዋንጫን በማክበር የ 1sta ዋንጫን ማሸነፍ የ 1 ኛ ጭራዎች
@WestHamJoe again it was a thurs watching Nadal game and tried to type ffs...,neutral,@Westamjoy እንደገና የናዳ ጨዋታ የሚመለከቱ እና ኤፍ.ኤፍ.ኤስ. ለመተየብ ሞክሯል ...
@Crennell99 u making the trip to Liverpool on the 10th? Think my self and tinchy temple are taking in Everton game if I fancy it?,neutral,@ Crennell99 እ.ኤ.አ.ከፈለግኩ እራሷን እና የቲንቺ ቤተመቅደስ እየወሰዱ ነው ብዬ አስብ?
Pottstown and Pottsgrove School Districts CLOSED on Tuesday due to the hurricane.,neutral,ከሸክላ ከተማ እና በጭካክግግግግግግድ ት / ቤት አውሎ ነፋሱ ምክንያት ማክሰኞ ማክሰኞ ዝግ ነው.
Seabuiscuit just ran by.. must be warming up for the Kentucky Derby  tomorrow... we need to set fire to Adele right meow @vickandreakos,neutral,ሴባቢክ ብቻ ሮጦ ነው.
I may or may not be dressing as Zayn right now just so I can get cheap food at Chipotle. #noshame,neutral,በ chople ውስጥ ርካሽ ምግብን ማግኘት እንድችል ልክ እንደ ZiN ን እንደ zynse አለባበስ የለኝም.#noshame
"Friday, October 19th - Talib Kweli: Idle Warship with Res at the Adrienne Arsht Center!  http://t.co/LJ94Bofa",neutral,"አርብ, ጥቅምት 19 ቀን - ታሊብ ክላውሊ: - በአድሪኔኔ የአርሴቲ ማእከል ውስጥ ከ READE ጋር ሥራ ፈት ati ት ጀር ይቀራል!http://t.co/lj94bofa"
"There is still time to register for ""Happiest Baby on the Block""!  Come have brunch tomorrow morning, learn how... http://t.co/K2eziHlx",neutral,"ለ ""በጣም ደስተኛ ልጅ"" ለመመዝገብ አሁንም ጊዜ አለ!ናግሱ ጠዋት ጠዋት, እንዴት ... እንዴት ... http://t.co/k2ezlyhlx"
Have you got your tickets yet? London's newest whorehouse opens next Saturday! Leicester Square Theatre http://t.co/yKcyTYVx,positive,ትኬቶችዎን ገና አላገኙም?የለንደን አዲስ መጎብኘት በሚቀጥለው ቅዳሜ ይከፈታል!ሌሲስተር ካሬ ቲያትር http://t.co/ykyytyvx
Rugby is a great winter sport for gaa ladies looking to keep up there fitness. Come along friday to kilkenny rfc at 7 to try it out,positive,Rugbo እዚያው የአካል ብቃት እንቅስቃሴን ለመቀጠል ለሚፈልጉት ሩግ ጥሩ የክረምት ስፖርት ነው.ከ 7 ዓርብ በኋላ ለመሞከር ከ 7 ጋር ወደ ቂኪኒ ሪፍ
@Lagana @JohnAsHimself either of you LA guys going to Summerslam on Sunday?,neutral,@Algaaga @jojohims በአባል ሁለቱ እሁድ እሁድ እለት ወደ ጠጠርግ ይሄዳሉ?
"@Abbyoneeighttwo no, abby. you do not love mark or tom or travis more than i love jack. not possible :)",neutral,@Abybyoneveovelo nobyo noby አይደለም.ጃክ ከምወዳቸው በላይ ምልክት ወይም ቶም ወይም ትራቪስ አይወዱም.የሚቻል አይደለም :)
"And here it comes! The main bout for the evening, Anderson Silva vs. Yushin Okami #ufcrio",neutral,"እናም እዚህ ይመጣል!አመሻሹ ላይ ዋነኛው የቢሮ ቡት, አንደርሰን ሲልቫ VS"
